Game,Discount %,Original,Final,Review % positive,Reviews,Review label,Store URL
The Curious Tale of the Stolen Pets,85,$3.99,$0.59,92,293,positive,https://store.steampowered.com/app/1099500/
Lighthouse Keeper,85,$3.99,$0.59,81,336,positive,https://store.steampowered.com/app/2023050/
Extreme Formula Championship,85,$3.99,$0.59,44,29,mixed,https://store.steampowered.com/app/833810/
Super Jigsaw Puzzle: Generations - Birds Puzzles,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1076090/
Super Jigsaw Puzzle: Generations - Cats Puzzles,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1082020/
Heroes of Yore,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1679330/
Snowmania,85,$3.99,$0.59,,,,https://store.steampowered.com/app/764830/
Super Jigsaw Puzzle: Generations - Airplanes Puzzles,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1080590/
Super Jigsaw Puzzle: Generations - Landscapes Puzzles,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1205310/
Super Jigsaw Puzzle: Generations - Winter 2022,85,$3.99,$0.59,,,,https://store.steampowered.com/app/2212541/
Crazy Invader ShootEm Down,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1727600/
Super Jigsaw Puzzle: Generations - Norway,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1804660/
Super Jigsaw Puzzle: Generations - Fantasy,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1542230/
Monkey Hit,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1618000/
Super Jigsaw Puzzle: Generations - Big Cats 2,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1939080/
Super Jigsaw Puzzle: Generations - Switzerland,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1674910/
Super Jigsaw Puzzle: Generations - Bugs Puzzles,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1213560/
Super Jigsaw Puzzle: Generations - Dogs Puzzles,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1243681/
Super Jigsaw Puzzle: Generations - Flowers Puzzles,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1243682/
Super Jigsaw Puzzle: Generations - Streets Puzzles,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1246181/
Super Jigsaw Puzzle: Generations - Technology,85,$3.99,$0.59,,,,https://store.steampowered.com/app/1907501/
Wormskull,85,$4.49,$0.67,98,61,positive,https://store.steampowered.com/app/1153200/
Darkness Within 1: In Pursuit of Loath Nolder,85,$4.49,$0.67,73,559,positive,https://store.steampowered.com/app/298930/
Skies Above,85,$4.49,$0.67,93,33,positive,https://store.steampowered.com/app/2604030/
Intensive Exposure,85,$4.50,$0.67,85,141,positive,https://store.steampowered.com/app/518670/
Verdungo,85,$4.49,$0.67,91,45,positive,https://store.steampowered.com/app/1378940/
Soul's Spectrum,85,$4.49,$0.67,94,34,positive,https://store.steampowered.com/app/2256810/
TAIKU MANSION,85,$4.50,$0.67,61,90,mixed,https://store.steampowered.com/app/529760/
Ash of Gods - Digital Art Collection,85,$4.49,$0.67,72,11,positive,https://store.steampowered.com/app/820860/
Kids Learn,85,$4.49,$0.67,50,12,mixed,https://store.steampowered.com/app/890210/
SUPER DISTRO,85,$4.50,$0.67,38,293,negative,https://store.steampowered.com/app/364690/
Robot vs Birds Zombies,85,$4.50,$0.67,37,116,negative,https://store.steampowered.com/app/389460/
Super Jigsaw Puzzle: Generations - Kittens 2,85,$4.49,$0.67,,,,https://store.steampowered.com/app/1700821/
Super Jigsaw Puzzle: Generations - Food,85,$4.49,$0.67,,,,https://store.steampowered.com/app/2102380/
Finding Annie,85,$4.49,$0.67,,,,https://store.steampowered.com/app/3674140/
Super Jigsaw Puzzle: Generations - Colorful,85,$4.49,$0.67,,,,https://store.steampowered.com/app/1592250/
Super Jigsaw Puzzle: Generations - Greece,85,$4.49,$0.67,,,,https://store.steampowered.com/app/1907500/
Super Jigsaw Puzzle: Generations - Imagination,85,$4.49,$0.67,,,,https://store.steampowered.com/app/1840601/
Super Jigsaw Puzzle: Generations - Sports Puzzles,85,$4.49,$0.67,,,,https://store.steampowered.com/app/1244701/
Super Jigsaw Puzzle: Generations - Baby Animals,85,$4.49,$0.67,,,,https://store.steampowered.com/app/1625320/
Super Jigsaw Puzzle: Generations - Winter Puzzles,85,$4.49,$0.67,,,,https://store.steampowered.com/app/1082031/
Super Jigsaw Puzzle: Generations - Sci-Fi,85,$4.49,$0.67,,,,https://store.steampowered.com/app/2234585/
Quiztopia : The Ultimate Trivia,85,$4.49,$0.67,,,,https://store.steampowered.com/app/2912680/
Super Jigsaw Puzzle: Generations - Desert,85,$4.49,$0.67,,,,https://store.steampowered.com/app/2400093/
Mask of Dead 2: Shadow of Pelagius,85,$4.49,$0.67,,,,https://store.steampowered.com/app/3439950/
Another Red Riding Hood Story - 另一个小红帽的故事 - Cô Bé Quàng Khăn Đỏ,85,$4.49,$0.67,,,,https://store.steampowered.com/app/4351160/
NecroVisioN: Lost Company,85,$4.69,$0.70,73,464,positive,https://store.steampowered.com/app/46250/
RIDE 4 - Ultimate 2020,85,$4.99,$0.74,91,23,positive,https://store.steampowered.com/app/1365110/
RIDE 4 - 600cc Passion,85,$4.99,$0.74,100,14,positive,https://store.steampowered.com/app/1365190/
RIDE 4 - Extreme Performance,85,$4.99,$0.74,73,26,positive,https://store.steampowered.com/app/1365230/
RIDE 4 - Sportbikes 101,85,$4.99,$0.74,76,17,positive,https://store.steampowered.com/app/1365090/
RIDE 4 - Credits Multiplier,85,$4.99,$0.74,65,35,mixed,https://store.steampowered.com/app/1365020/
Lethal VR,85,$4.99,$0.74,82,167,positive,https://store.steampowered.com/app/532270/
